Eastern Central US  (309,1332)  (364,1318)  (423,1327)  (308,1389)  (363,1375)  (418,1396)  (405,1457)  (345,1447)  (290,1451)  (239,1503)  (313,1510)  (259,1566)  (258,1628)  | overflowToLeft=false
Cairo  (3892,2376)  (3902,2420)  (3938,2376)  (3947,2419)  (3991,2418)  (4038,2420)  (3992,2464)  (3946,2465)  (3901,2464)  (3981,2373)  (4027,2373)  (3978,2328)  (3952,2508)  (4038,2465)  (4000,2508)  (4043,2510)  (4086,2509)  | overflowToLeft=false
91 Sea Zone  (6933,3192)  (6885,3191)  (6970,3144)  (6980,3191)  (6849,3143)  (6798,3133)  (6820,3082)  (6767,3085)  (6768,3038)  (6717,3008)  (6886,3239)  (6937,3239)  (6984,3238)  (7015,3100)  (7029,3145)  (7037,3189)  (7032,3239)  | overflowToLeft=false
Crimea  (4075,1435)  (4125,1434)  (4075,1484)  (4125,1484)  | overflowToLeft=false
124 Sea Zone  (8757,2377)  (8711,2422)  (8711,2376)  (8802,2423)  (8757,2331)  (8803,2331)  (8803,2377)  (8709,2330)  (8756,2468)  (8710,2468)  (8665,2422)  (8665,2376)  (8848,2423)  (8848,2469)  (8802,2469)  (8664,2469)  (8755,2285)  (8801,2285)  (8847,2285)  (8849,2331)  (8849,2377)  (8663,2330)  (8663,2284)  (8709,2284)  (8893,2241)  (8756,2514)  (8710,2514)  (8619,2423)  (8619,2377)  (8894,2423)  (8894,2469)  (8894,2515)  (8848,2515)  (8802,2515)  (8664,2515)  (8618,2515)  (8618,2469)  (8755,2239)  (8801,2239)  (8847,2239)  (8895,2287)  (8895,2333)  (8617,2331)  (8617,2285)  (8680,2238)  (8893,2195)  (8939,2195)  (8939,2241)  (8756,2560)  (8710,2560)  (8940,2379)  (8940,2425)  (8940,2471)  (8940,2517)  (8894,2561)  (8848,2561)  (8802,2561)  (8664,2561)  (8618,2561)  (8726,2193)  (8772,2193)  (8818,2193)  (8941,2287)  (8941,2333)  (8942,2563)  (8864,2149)  (8910,2149)  (8956,2149)  (8985,2195)  (8985,2241)  (8986,2379)  (8986,2425)  (8986,2471)  (8986,2517)  (8765,2147)  (8811,2147)  (8987,2287)  (8987,2333)  (8988,2563)  (9002,2147)  | overflowToLeft=false
Bohemia Moravia  (3181,1163)  (3226,1158)  (3270,1170)  (3313,1185)  (3360,1182)  (3208,1209)  (3258,1211)  | overflowToLeft=false
93 Sea Zone  (7134,3547)  (7088,3592)  (7088,3546)  (7179,3593)  (7134,3501)  (7180,3516)  (7086,3500)  (7133,3638)  (7087,3638)  (7042,3592)  (7042,3546)  (7225,3562)  (7225,3608)  (7179,3639)  (7041,3639)  (7226,3507)  (7040,3500)  (7040,3454)  (7240,3654)  (7271,3553)  (7271,3599)  (7003,3408)  (7286,3645)  (7317,3531)  (7317,3577)  (7003,3362)  (7332,3623)  (7363,3512)  (7003,3316)  (7387,3446)  (7420,3368)  (7440,3241)  (7453,3195)  (7486,3241)  (7483,3149)  | overflowToLeft=false
142 Sea Zone  (9782,3516)  (9736,3561)  (9736,3515)  (9827,3562)  (9782,3470)  (9828,3470)  (9828,3516)  (9734,3469)  (9781,3607)  (9735,3607)  (9690,3561)  (9690,3515)  (9873,3562)  (9873,3608)  (9827,3608)  (9689,3608)  (9780,3424)  (9826,3424)  (9872,3424)  (9874,3470)  (9874,3516)  (9688,3469)  (9688,3423)  (9734,3423)  (9918,3380)  (9781,3653)  (9735,3653)  (9644,3562)  (9644,3516)  (9919,3562)  (9919,3608)  (9919,3654)  (9873,3654)  (9827,3654)  (9689,3654)  (9643,3654)  (9643,3608)  (9780,3378)  (9826,3378)  (9872,3378)  (9920,3426)  (9920,3472)  (9642,3470)  (9642,3424)  (9642,3378)  (9688,3377)  (9734,3377)  (9918,3334)  (9964,3334)  (9964,3380)  (9781,3699)  (9735,3699)  (9598,3562)  (9598,3516)  (9965,3518)  (9965,3564)  (9965,3610)  (9965,3656)  (9919,3700)  (9873,3700)  (9827,3700)  (9597,3669)  (9597,3623)  (9597,3332)  (9780,3332)  (9826,3332)  (9872,3332)  (9966,3426)  (9966,3472)  (9596,3470)  (9596,3424)  (9596,3378)  (9643,3331)  (9689,3331)  (9967,3702)  (9918,3288)  (9964,3288)  (10010,3288)  (10010,3334)  (10010,3380)  (9781,3745)  (9735,3745)  (9552,3577)  (9552,3531)  (10011,3518)  (10011,3564)  (10011,3610)  (10011,3656)  (9921,3746)  (9875,3746)  (9829,3746)  (9551,3669)  (9551,3623)  (9551,3332)  (9551,3286)  (9597,3286)  (9735,3286)  (9781,3286)  (9827,3286)  (10012,3426)  (10012,3472)  (9550,3485)  (9550,3439)  (9550,3393)  (9643,3285)  (9689,3285)  (10013,3702)  (10013,3748)  (9967,3748)  (10056,3269)  (10056,3315)  (10056,3361)  (9783,3791)  (9737,3791)  (9506,3577)  (9506,3531)  (10057,3518)  (10057,3564)  (10057,3610)  (10057,3656)  (9921,3792)  (9875,3792)  (9829,3792)  (10058,3407)  (10058,3453)  (10059,3702)  (10059,3748)  (10059,3794)  (10013,3794)  (9967,3794)  (10102,3269)  (10102,3315)  (10102,3361)  (10103,3499)  (10103,3545)  (10103,3591)  (10103,3637)  (10104,3407)  (10104,3453)  (10105,3683)  (10105,3729)  (10105,3775)  | overflowToLeft=false
Tibet  (5743,1936)  (5800,1944)  (5862,1950)  (5923,1977)  (5688,1976)  (5651,2032)  (5718,2031)  (5784,2003)  (5851,2017)  (5917,2035)  (5974,2050)  (5799,2067)  (5738,2094)  (5865,2081)  (5808,2130)  (5889,2137)  (5951,2108)  (6015,2124)  (5955,2166)  (6045,2187)  | overflowToLeft=false
Portugal  (2215,1714)  (2204,1769)  (2192,1820)  (2197,1871)  (2192,1934)  | overflowToLeft=false
Western US  (9757,1140)  (9736,1189)  (9725,1244)  (9807,1138)  (9785,1191)  (9778,1243)  (9861,1135)  (9835,1190)  (9831,1243)  (9912,1137)  (9888,1189)  (9882,1244)  (9942,1189)  (9971,1137)  (9937,1246)  | overflowToLeft=false
47 Sea Zone  (3035,1691)  (3038,1645)  (3081,1691)  (2944,1710)  (3127,1736)  (2940,1598)  (2927,1664)  (2986,1584)  | overflowToLeft=false
Western Mongolia  (6011,1142)  (6003,1085)  (6057,1081)  (6069,1139)  (6084,1199)  (6023,1203)  (5967,1202)  (5942,1142)  (5937,1078)  (5884,1029)  (5879,1089)  (5821,1079)  (6046,1257)  (6112,1253)  (6133,1313)  (6119,1077)  (6153,974)  (6120,1145)  | overflowToLeft=false
Copenhagen  (3104,785)  (3056,849)  (3103,830)  | overflowToLeft=false
Belorussia  (3808,882)  (3756,882)  (3859,882)  (3705,881)  (3709,933)  (3761,931)  (3813,934)  (3738,831)  (3790,831)  (3846,830)  (3859,929)  (3717,979)  | overflowToLeft=false
3 Sea Zone  (1866,231)  (1820,276)  (1820,230)  (1911,277)  (1866,185)  (1912,185)  (1912,231)  (1818,184)  (1804,322)  (1774,276)  (1774,230)  (1958,152)  (1958,198)  (1958,244)  (1758,338)  (1728,292)  (1728,246)  (2004,122)  (2004,168)  (2004,214)  (2004,260)  (1712,374)  (1682,328)  (1682,282)  (2050,105)  (2050,151)  (2050,197)  (1666,400)  (1636,354)  (2096,93)  (2096,139)  (2096,185)  (1620,432)  (1590,386)  (2142,87)  (2142,133)  (2142,179)  (1574,432)  (1544,386)  (2188,86)  (2188,132)  (2188,178)  (2234,75)  (2234,121)  (2234,167)  (2234,213)  (2280,65)  (2280,111)  (2280,157)  (2280,203)  (2302,0)  (2326,46)  (2326,92)  (2326,138)  (2326,184)  | overflowToLeft=false
65 Sea Zone  (1465,3766)  (1419,3811)  (1419,3765)  (1510,3812)  (1465,3720)  (1511,3720)  (1511,3766)  (1417,3719)  (1464,3857)  (1418,3857)  (1373,3811)  (1373,3765)  (1556,3812)  (1556,3858)  (1510,3858)  (1372,3858)  (1463,3674)  (1509,3674)  (1555,3674)  (1557,3720)  (1557,3766)  (1371,3719)  (1371,3673)  (1417,3673)  (1601,3630)  (1464,3903)  (1418,3903)  (1327,3812)  (1327,3766)  (1602,3812)  (1602,3858)  (1602,3904)  (1556,3904)  (1510,3904)  (1372,3904)  (1326,3904)  (1326,3858)  (1463,3628)  (1509,3628)  (1555,3628)  (1603,3676)  (1603,3722)  (1325,3720)  (1325,3674)  (1341,3627)  (1387,3627)  (1601,3584)  (1647,3584)  (1647,3630)  (1464,3949)  (1418,3949)  (1281,3812)  (1281,3766)  (1648,3768)  (1648,3814)  (1648,3860)  (1648,3906)  (1602,3950)  (1556,3950)  (1510,3950)  (1372,3950)  (1326,3950)  (1280,3950)  (1280,3904)  (1280,3858)  (1433,3582)  (1479,3582)  (1525,3582)  (1649,3676)  (1649,3722)  (1341,3581)  (1387,3581)  (1650,3952)  (1571,3538)  (1617,3538)  (1663,3538)  (1464,3995)  (1418,3995)  (1235,3812)  (1604,3996)  (1558,3996)  (1512,3996)  (1372,3996)  (1326,3996)  (1280,3996)  (1234,3996)  (1234,3950)  (1234,3904)  (1234,3858)  (1433,3536)  (1479,3536)  (1525,3536)  (1342,3535)  (1691,3998)  (1571,3492)  (1617,3492)  (1663,3492)  (1466,4041)  (1420,4041)  (1189,3812)  (1645,4042)  (1599,4042)  (1553,4042)  (1374,4042)  (1328,4042)  (1282,4042)  (1236,4042)  (1190,4042)  (1188,3996)  (1188,3950)  (1188,3904)  (1188,3858)  (1388,3490)  (1434,3490)  (1480,3490)  (1691,4044)  (1144,4086)  (1526,3446)  (1572,3446)  (1618,3446)  (1664,3446)  (1507,4087)  (1461,4087)  (1645,4088)  (1599,4088)  (1553,4088)  (1415,4088)  (1369,4088)  (1323,4088)  (1277,4088)  (1231,4088)  (1142,4040)  (1142,3994)  (1142,3948)  (1383,3444)  (1429,3444)  (1475,3444)  (1691,4090)  (1185,4132)  (1139,4132)  (1098,4086)  (1521,3400)  (1567,3400)  (1613,3400)  (1659,3400)  (1507,4133)  (1461,4133)  (1645,4134)  (1599,4134)  (1553,4134)  (1415,4134)  (1369,4134)  (1323,4134)  (1277,4134)  (1231,4134)  (1096,4040)  (1416,3398)  (1462,3398)  (1691,4136)  (1093,4137)  (1185,4178)  (1139,4178)  (1508,3354)  (1554,3354)  (1600,3354)  (1646,3354)  (1507,4179)  (1461,4179)  (1645,4180)  (1599,4180)  (1553,4180)  (1415,4180)  (1369,4180)  (1323,4180)  (1277,4180)  (1231,4180)  (1443,3352)  (1691,4182)  (1093,4183)  (1047,4183)  | overflowToLeft=false
60 Sea Zone  (1498,2635)  (1452,2680)  (1452,2634)  (1543,2681)  (1498,2589)  (1544,2589)  (1544,2635)  (1450,2588)  (1497,2726)  (1451,2726)  (1406,2680)  (1406,2634)  (1589,2681)  (1589,2727)  (1543,2727)  (1405,2727)  (1496,2543)  (1542,2543)  (1588,2543)  (1590,2589)  (1590,2635)  (1404,2588)  (1404,2542)  (1450,2542)  (1497,2772)  (1451,2772)  (1600,2773)  (1554,2773)  (1405,2773)  (1508,2818)  (1462,2818)  (1600,2819)  (1554,2819)  (1416,2819)  (1508,2864)  (1462,2864)  (1600,2865)  (1554,2865)  (1416,2865)  (1508,2910)  (1462,2910)  (1600,2911)  (1554,2911)  (1416,2911)  | overflowToLeft=false
Southern Algeria  (2732,2349)  (2792,2347)  (2846,2373)  (2735,2407)  (2788,2407)  (2764,2459)  (2820,2463)  (2880,2432)  (2933,2442)  (2884,2489)  (2938,2497)  (3008,2464)  | overflowToLeft=false
Gilbert Islands  (9097,3063)  (9149,3045)  (9202,3041)  | overflowToLeft=false
Northern Territory  (8141,3926)  (8202,3928)  (8272,3937)  (8133,3984)  (8199,3993)  (8280,4006)  (8365,3951)  (8357,4020)  (8379,4101)  (8309,4076)  (8240,4065)  (8166,4059)  (8135,4119)  (8203,4121)  (8295,4137)  | overflowToLeft=false
106 Sea Zone  (9575,1004)  (9529,1049)  (9529,1003)  (9620,1050)  (9575,958)  (9621,958)  (9621,1004)  (9527,957)  (9574,1095)  (9528,1095)  (9666,1050)  (9634,1096)  (9573,912)  (9667,974)  (9498,911)  (9588,1141)  (9542,1141)  (9544,866)  (9498,865)  (9543,1187)  (9544,820)  (9498,819)  | overflowToLeft=false
Western Evenki  (6453,216)  (6407,261)  (6407,215)  (6498,262)  (6453,170)  (6499,170)  (6499,216)  (6405,169)  (6452,307)  (6406,307)  (6361,261)  (6361,215)  (6544,262)  (6544,308)  (6498,308)  (6360,308)  (6451,124)  (6497,124)  (6543,124)  (6545,170)  (6545,216)  (6359,169)  (6359,123)  (6405,123)  (6589,80)  (6452,353)  (6406,353)  (6315,262)  (6315,216)  (6590,262)  (6590,308)  (6590,354)  (6544,354)  (6498,354)  (6360,354)  (6314,324)  (6451,78)  (6497,78)  (6543,78)  (6591,126)  (6591,172)  (6313,170)  (6313,124)  (6313,78)  (6359,77)  (6405,77)  (6589,34)  (6635,34)  (6635,80)  (6452,399)  (6406,399)  (6269,259)  (6636,218)  (6623,400)  (6577,400)  (6531,400)  (6360,400)  (6268,32)  (6451,32)  (6497,32)  (6543,32)  (6637,126)  (6637,172)  (6267,213)  (6267,167)  (6267,121)  (6314,31)  (6360,31)  (6681,0)  (6681,46)  (6485,445)  (6439,445)  (6620,446)  (6574,446)  (6393,446)  (6222,75)  (6222,29)  (6683,92)  (6221,229)  (6221,183)  (6221,137)  (6528,491)  (6482,491)  (6634,492)  (6588,492)  (6436,492)  (6390,492)  (6176,86)  (6176,40)  (6130,45)  | overflowToLeft=false
114 Sea Zone  (9513,2192)  (9467,2237)  (9467,2191)  (9558,2238)  (9513,2146)  (9559,2146)  (9559,2192)  (9465,2145)  (9512,2283)  (9466,2283)  (9604,2238)  (9604,2284)  (9558,2284)  (9511,2100)  (9557,2100)  (9603,2100)  (9605,2146)  (9605,2192)  (9425,2099)  (9649,2056)  (9512,2329)  (9466,2329)  (9650,2238)  (9650,2284)  (9650,2330)  (9604,2330)  (9558,2330)  (9471,2054)  (9517,2054)  (9563,2054)  (9651,2102)  (9651,2148)  (9425,2053)  (9609,2010)  (9655,2010)  (9695,2056)  (9512,2375)  (9466,2375)  (9696,2194)  (9696,2240)  (9696,2286)  (9696,2332)  (9650,2376)  (9604,2376)  (9558,2376)  (9471,2008)  (9517,2008)  (9563,2008)  (9697,2102)  (9697,2148)  (9425,2007)  (9698,2378)  (9609,1964)  (9655,1964)  (9512,2421)  (9466,2421)  (9652,2422)  (9606,2422)  (9560,2422)  (9471,1962)  (9517,1962)  (9563,1962)  (9425,1961)  (9710,2424)  (9609,1918)  (9514,2467)  (9468,2467)  (9664,2468)  (9618,2468)  (9572,2468)  (9471,1916)  (9517,1916)  (9563,1916)  (9425,1915)  (9710,2470)  (9471,1870)  (9517,1870)  (9563,1870)  (9425,1869)  (9471,1824)  (9517,1824)  (9425,1823)  | overflowToLeft=false
83 Sea Zone  (5820,3884)  (5774,3929)  (5774,3883)  (5865,3930)  (5820,3838)  (5866,3838)  (5866,3884)  (5772,3837)  (5819,3975)  (5773,3975)  (5728,3929)  (5728,3883)  (5911,3930)  (5911,3976)  (5865,3976)  (5727,3976)  (5818,3792)  (5864,3792)  (5910,3792)  (5912,3838)  (5912,3884)  (5726,3837)  (5726,3791)  (5772,3791)  (5956,3748)  (5819,4021)  (5773,4021)  (5682,3930)  (5682,3884)  (5957,3930)  (5957,3976)  (5957,4022)  (5911,4022)  (5865,4022)  (5727,4022)  (5681,4022)  (5681,3976)  (5818,3746)  (5864,3746)  (5910,3746)  (5958,3794)  (5958,3840)  (5680,3838)  (5680,3792)  (5680,3746)  (5726,3745)  (5772,3745)  (5956,3702)  (6002,3702)  (6002,3748)  (5819,4067)  (5773,4067)  (6003,3886)  (6003,3932)  (6003,3978)  (6003,4024)  (5957,4068)  (5911,4068)  (5865,4068)  (5727,4068)  (5681,4068)  (5672,3700)  (5818,3700)  (5864,3700)  (5910,3700)  (6004,3794)  (6004,3840)  (5718,3699)  (5764,3699)  (6005,4070)  (5956,3656)  (6002,3656)  (6048,3656)  (6048,3702)  (6048,3748)  (5819,4113)  (5773,4113)  (6049,3886)  (6049,3932)  (6049,3978)  (6049,4024)  (5959,4114)  (5913,4114)  (5867,4114)  (5727,4114)  (5681,4114)  (5672,3654)  (5810,3654)  (5856,3654)  (5902,3654)  (6050,3794)  (6050,3840)  (5718,3653)  (5764,3653)  (6051,4070)  (6051,4116)  (6005,4116)  (6094,3637)  (6094,3683)  (6094,3729)  (5821,4159)  (5775,4159)  (6095,3886)  (6095,3932)  (6095,3978)  (6095,4024)  (5959,4160)  (5913,4160)  (5867,4160)  (5729,4160)  (5683,4160)  (6096,3775)  (6096,3821)  (6097,4070)  (6097,4116)  (6097,4162)  (6051,4162)  (6005,4162)  | overflowToLeft=false
22 Sea Zone  (2461,1142)  (2415,1187)  (2415,1141)  (2486,1188)  (2507,1117)  (2369,1215)  (2369,1169)  (2369,1123)  (2553,1116)  (2560,1162)  (2323,1215)  (2323,1169)  (2599,1107)  | overflowToLeft=false
Urals  (4649,508)  (4712,496)  (4781,529)  (4843,548)  (4617,568)  (4687,572)  (4756,592)  (4834,611)  (4888,604)  (4852,666)  (4775,655)  (4697,640)  (4632,631)  (4567,632)  (4605,697)  (4669,696)  (4737,709)  (4797,718)  (4789,773)  (4728,769)  (4676,756)  (4613,762)  (4614,821)  (4672,813)  (4732,823)  (4671,865)  | overflowToLeft=false
160 Sea Zone  (8798,4573)  (8752,4618)  (8752,4572)  (8843,4619)  (8798,4527)  (8844,4527)  (8844,4573)  (8750,4526)  (8797,4664)  (8751,4664)  (8706,4618)  (8889,4619)  (8889,4665)  (8843,4665)  (8705,4665)  (8796,4481)  (8842,4481)  (8888,4481)  (8890,4527)  (8890,4573)  (8718,4480)  (8672,4467)  (8934,4437)  (8797,4710)  (8751,4710)  (8935,4619)  (8935,4665)  (8935,4711)  (8889,4711)  (8843,4711)  (8705,4711)  (8659,4711)  (8659,4665)  (8764,4435)  (8810,4435)  (8856,4435)  (8936,4483)  (8936,4529)  (8718,4434)  (8626,4479)  (8980,4400)  (8981,4575)  (8981,4621)  (8981,4667)  (8981,4713)  (8613,4754)  (8613,4708)  (8613,4662)  (8982,4446)  (8982,4492)  (8571,4616)  (9026,4400)  (9027,4538)  (9027,4584)  (9027,4630)  (9027,4676)  (9027,4722)  (8567,4754)  (8567,4708)  (8567,4662)  (9028,4446)  (9028,4492)  (8553,4570)  (8544,4483)  (8525,4616)  (8521,4754)  (8521,4708)  (8521,4662)  | overflowToLeft=false
Southern Central US  (10227,1530)  (10226,1479)  (10279,1535)  (10278,1481)  (10177,1444)  (10172,1493)  (10175,1545)  (10120,1543)  (10119,1485)  (10121,1436)  (9984,1476)  (9984,1530)  (10040,1545)  (10321,1434)  | overflowToLeft=false
Saskatchewan  (10256,710)  (10210,755)  (10210,709)  (10301,756)  (10256,664)  (10302,664)  (10302,710)  (10208,663)  (10255,801)  (10209,801)  (10326,802)  (10254,618)  (10300,618)  (10192,617)  (10280,847)  (10234,847)  (10326,848)  (10238,572)  (10284,572)  (10192,571)  (10280,893)  (10234,893)  (10326,894)  (10238,526)  (10284,526)  (10192,525)  (10238,480)  (10284,480)  (10192,479)  (10238,434)  (10284,434)  (10192,433)  (10238,388)  (10284,388)  (10192,387)  | overflowToLeft=false
132 Sea Zone  (9157,2886)  (9111,2931)  (9111,2885)  (9202,2932)  (9157,2840)  (9203,2840)  (9203,2886)  (9109,2839)  (9156,2977)  (9110,2977)  (9065,2931)  (9065,2885)  (9248,2932)  (9248,2978)  (9202,2978)  (9064,2978)  (9155,2794)  (9201,2794)  (9247,2794)  (9249,2840)  (9249,2886)  (9063,2839)  (9063,2793)  (9109,2793)  (9293,2750)  (9019,2932)  (9019,2886)  (9294,2932)  (9294,2978)  (9294,3024)  (9097,3024)  (9051,3024)  (9018,2978)  (9155,2748)  (9201,2748)  (9247,2748)  (9295,2796)  (9295,2842)  (9017,2840)  (9017,2794)  (9017,2748)  (9063,2747)  (9109,2747)  (9005,3037)  (9248,3059)  (9293,2704)  (9339,2704)  (9339,2750)  (8973,2932)  (8973,2886)  (9340,2888)  (9340,2934)  (9340,2980)  (9340,3026)  (9294,3070)  (8972,2991)  (9341,2796)  (9341,2842)  (8971,2840)  (8971,2794)  (9342,3072)  (9040,3083)  (8994,3083)  (8959,3037)  (9202,3094)  (8948,3094)  (9156,3096)  (9248,3105)  (9110,3107)  (8927,2945)  (8927,2899)  (9296,3116)  (8926,2991)  (8925,2853)  (9379,3118)  (9049,3129)  (9003,3129)  (8913,3048)  (9202,3140)  (8957,3140)  (8911,3140)  (8902,3094)  (9156,3142)  (9250,3151)  (9110,3153)  (8881,2945)  (8881,2899)  (9333,3162)  (8880,3002)  (9379,3164)  (9049,3175)  (9003,3175)  (8867,3048)  (8865,3177)  (9204,3186)  (8957,3186)  (8911,3186)  (8856,3131)  (9158,3188)  (9287,3197)  (9112,3199)  (9333,3208)  (9379,3210)  (9049,3221)  (9003,3221)  (8865,3223)  | overflowToLeft=false
75 Sea Zone  (5308,3119)  (5262,3164)  (5262,3118)  (5353,3165)  (5308,3073)  (5354,3073)  (5354,3119)  (5260,3072)  (5307,3210)  (5261,3210)  (5216,3164)  (5216,3118)  (5399,3165)  (5399,3211)  (5353,3211)  (5215,3211)  (5306,3027)  (5352,3027)  (5398,3027)  (5400,3073)  (5400,3119)  (5214,3072)  (5214,3026)  (5260,3026)  (5307,3256)  (5261,3256)  (5170,3165)  (5170,3119)  (5445,3165)  (5445,3211)  (5445,3257)  (5399,3257)  (5353,3257)  (5215,3257)  (5169,3257)  (5169,3211)  (5306,2981)  (5352,2981)  (5398,2981)  (5446,3048)  (5446,3094)  (5168,3073)  (5168,3027)  (5171,2980)  (5217,2980)  (5307,3302)  (5261,3302)  (5491,3172)  (5491,3218)  (5491,3264)  (5445,3303)  (5399,3303)  (5353,3303)  (5215,3303)  (5169,3303)  (5263,2935)  (5309,2935)  (5355,2935)  (5401,2935)  (5208,2934)  (5498,3310)  (5307,3348)  (5261,3348)  (5537,3250)  (5452,3349)  (5406,3349)  (5360,3349)  (5215,3349)  (5169,3349)  (5254,2889)  (5300,2889)  (5346,2889)  (5392,2889)  (5544,3296)  (5544,3342)  (5498,3356)  (5576,3388)  (5314,3394)  (5268,3394)  (5452,3395)  (5406,3395)  (5360,3395)  (5222,3395)  (5176,3395)  (5217,2843)  (5263,2843)  (5309,2843)  (5355,2843)  (5530,3402)  (5622,3415)  (5215,2797)  (5261,2797)  (5373,2797)  | overflowToLeft=false
Yakut  (6744,849)  (6740,792)  (6797,794)  (6799,844)  (6807,898)  (6747,910)  (6688,908)  (6686,850)  (6680,786)  (6682,724)  (6740,729)  (6795,737)  (6856,833)  (6864,890)  (6869,951)  (6803,952)  (6749,968)  (6689,968)  (6631,912)  (6630,973)  (6566,991)  (6626,1028)  (6690,1026)  (6861,1007)  (6913,1003)  (6855,712)  (6796,673)  (6732,661)  (6783,615)  (6676,668)  | overflowToLeft=false
Madrid  (2427,1767)  (2426,1721)  (2472,1721)  (2471,1766)  (2469,1810)  (2424,1814)  (2377,1815)  (2378,1767)  (2378,1721)  (2516,1712)  (2517,1756)  (2332,1749)  (2330,1797)  | overflowToLeft=false
Fo Kien  (7367,2189)  (7321,2234)  (7402,2235)  (7324,2143)  (7370,2143)  (7416,2140)  (7356,2280)  (7310,2280)  (7316,2097)  (7362,2097)  (7408,2094)  (7454,2090)  (7289,2050)  (7418,2190)  | overflowToLeft=false
101 Sea Zone  (8482,560)  (8436,605)  (8436,559)  (8527,606)  (8482,514)  (8528,514)  (8528,560)  (8481,651)  (8435,651)  (8390,605)  (8390,559)  (8573,606)  (8573,652)  (8527,652)  (8389,652)  (8472,468)  (8518,468)  (8564,468)  (8574,514)  (8574,560)  (8374,513)  (8610,432)  (8481,697)  (8435,697)  (8344,606)  (8344,560)  (8619,606)  (8619,652)  (8583,698)  (8537,698)  (8389,698)  (8343,698)  (8343,652)  (8620,478)  (8620,524)  (8640,386)  (8656,432)  (8298,606)  (8298,560)  (8665,570)  (8297,662)  (8666,478)  (8666,524)  (8590,358)  (8686,356)  (8636,340)  (8702,402)  (8544,339)  (8252,603)  (8252,557)  (8712,448)  (8712,494)  (8712,540)  (8590,312)  (8732,346)  (8748,392)  (8758,438)  (8758,484)  (8771,271)  (8778,326)  (8621,225)  (8755,225)  (8701,221)  (8575,208)  (8525,188)  (8621,179)  (8747,179)  (8474,175)  (8667,175)  (8428,163)  (8571,162)  (8380,146)  (8520,142)  (8617,133)  (8713,133)  (8759,133)  (8326,131)  (8474,129)  (8663,129)  (8270,128)  (8426,117)  (8566,116)  (8222,112)  (8372,100)  (8520,96)  (8176,94)  (8612,87)  (8709,87)  (8755,87)  (8316,85)  (8472,83)  (8658,83)  (8268,82)  (8127,76)  (8418,71)  (8566,70)  (8222,66)  (8078,59)  (8362,54)  (8518,50)  (8173,48)  (8031,44)  (8612,41)  (8704,41)  (8750,41)  (8314,39)  (8464,37)  (8658,37)  (8268,36)  (7959,35)  (8124,30)  (8408,25)  (8564,24)  (8219,20)  (8077,13)  (8360,8)  (8510,4)  (8170,2)  (7913,27)  (7867,24)  (7863,100)  (7821,1)  (7755,0)  (7725,53)  (7709,7)  (7679,64)  (7583,88)  | overflowToLeft=false
Crete  (3740,2106)  (3797,2113)  | overflowToLeft=false
Fiji  (9427,3782)  (9484,3846)  | overflowToLeft=false
Manitoba  (10414,728)  (10402,682)  (10414,774)  (10372,636)  (10414,820)  (10372,590)  (10414,866)  (10372,544)  (10414,912)  (10372,498)  (10372,452)  (10372,406)  (10372,360)  (119,504)  (73,544)  (73,498)  (44,355)  (32,452)  (28,406)  (27,584)  (27,538)  | overflowToLeft=false
